Date,units
2013-1-1,266
2013-1-2,272
2013-1-3,3359
2013-1-4,127
2013-1-5,13
2013-1-6,86
2013-1-7,1735
2013-1-8,2436
2013-1-9,5663
2013-1-10,358
2013-1-11,359
2013-1-12,18
2013-1-13,345
2013-1-14,5332
2013-1-15,2402
2013-1-16,3484
2013-1-17,233
2013-1-18,164
2013-1-19,18
2013-1-20,26
2013-1-21,707
2013-1-22,3376
2013-1-23,915
2013-1-24,669
2013-1-25,327
2013-1-26,11
2013-1-27,69
2013-1-28,360
2013-1-29,341
2013-1-30,464
2013-1-31,2350
2013-2-1,306
2013-2-2,15
2013-2-3,202
2013-2-4,3522
2013-2-5,1870
2013-2-6,3099
2013-2-7,2120
2013-2-8,135
2013-2-9,12
2013-2-10,292
2013-2-11,1362
2013-2-12,846
2013-2-13,5060
2013-2-14,291
2013-2-15,50346
2013-2-16,60
2013-2-17,43
2013-2-18,5109
2013-2-19,2657
2013-2-20,1235
2013-2-21,4817
2013-2-22,1408
2013-2-23,57
2013-2-24,46
2013-2-25,1166
2013-2-26,935
2013-2-27,1252
2013-2-28,1898
2013-3-1,226
2013-3-2,59
2013-3-3,77
2013-3-4,2745
2013-3-5,3082
2013-3-6,2189
2013-3-7,588
2013-3-8,0
2013-3-9,23
2013-3-10,93
2013-3-11,1921
2013-3-12,3251
2013-3-13,3798
2013-3-14,1021
2013-3-15,66610
2013-3-16,21
2013-3-17,721
2013-3-18,1486
2013-3-19,3128
2013-3-20,2963
2013-3-21,1957
2013-3-22,744
2013-3-23,20
2013-3-24,136
2013-3-25,2891
2013-3-26,2021
2013-3-27,1077
2013-3-28,29
2013-3-30,14
2013-4-1,245
2013-4-2,994
2013-4-3,6156
2013-4-4,1026
2013-4-5,2808
2013-4-6,9
2013-4-7,74
2013-4-8,3486
2013-4-9,1383
2013-4-10,2179
2013-4-11,332
2013-4-12,687
2013-4-13,35
2013-4-14,74
2013-4-15,55794
2013-4-16,2425
2013-4-17,958
2013-4-18,628
2013-4-19,63
2013-4-20,25
2013-4-21,78
2013-4-22,39985
2013-4-23,15886
2013-4-24,14939
2013-4-25,674
2013-4-26,219
2013-4-27,41
2013-4-28,100
2013-4-29,1592
2013-4-30,251
2013-5-1,619
2013-5-2,1639
2013-5-3,67
2013-5-4,291
2013-5-5,313
2013-5-6,1581
2013-5-7,799
2013-5-8,808
2013-5-9,549
2013-5-10,42
2013-5-12,685
2013-5-13,6643
2013-5-14,982
2013-5-15,59003
2013-5-16,2030
2013-5-17,5
2013-5-18,5
2013-5-19,465
2013-5-20,568
2013-5-21,3015
2013-5-22,778
2013-5-23,1386
2013-5-24,7150
2013-5-25,8
2013-5-26,142
2013-5-27,365
2013-5-28,2713
2013-5-29,1659
2013-5-30,820
2013-6-1,9
2013-6-2,59
2013-6-3,1403
2013-6-4,992
2013-6-5,1526
2013-6-6,1014
2013-6-7,13
2013-6-8,14
2013-6-9,359
2013-6-10,1065
2013-6-11,281
2013-6-12,2952
2013-6-13,375
2013-6-14,12
2013-6-15,67822
2013-6-16,63
2013-6-17,861
2013-6-18,2968
2013-6-19,2993
2013-6-20,60297
2013-6-21,1068
2013-6-22,20
2013-6-23,119
2013-6-24,265
2013-6-25,238
2013-6-26,3999
2013-6-27,1999
2013-6-28,80
2013-6-29,20
2013-6-30,96
2013-7-1,722
2013-7-2,1752
2013-7-3,459
2013-7-4,1598
2013-7-5,173
2013-7-6,3
2013-7-7,64
2013-7-8,659
2013-7-9,700
2013-7-10,2237
2013-7-11,1467
2013-7-12,3
2013-7-13,121
2013-7-14,434
2013-7-15,59877
2013-7-16,2273
2013-7-17,2477
2013-7-18,705
2013-7-19,123
2013-7-20,22
2013-7-21,102
2013-7-22,2162
2013-7-23,754
2013-7-24,1043
2013-7-25,664
2013-7-26,197
2013-7-28,105
2013-7-29,246
2013-7-30,1492
2013-7-31,630
2013-8-1,201
2013-8-2,237
2013-8-3,51
2013-8-4,45
2013-8-5,2714
2013-8-6,2266
2013-8-7,641
2013-8-8,1875
2013-8-9,15
2013-8-10,3
2013-8-11,438
2013-8-12,1353
2013-8-13,351
2013-8-14,3494
2013-8-15,62627
2013-8-16,20
2013-8-17,12
2013-8-18,72
2013-8-19,5998
2013-8-20,1955
2013-8-21,2897
2013-8-22,1393
2013-8-23,967
2013-8-24,43
2013-8-25,36
2013-8-26,1200
2013-8-27,1006
2013-8-28,472
2013-8-29,577
2013-8-30,50
2013-8-31,24
2013-9-1,66
2013-9-2,1504
2013-9-3,1501
2013-9-4,1748
2013-9-5,793
2013-9-6,19
2013-9-7,17
2013-9-8,135
2013-9-9,1496
2013-9-10,1040
2013-9-11,2041
2013-9-12,1513
2013-9-13,30
2013-9-15,74307
2013-9-16,2352
2013-9-17,595
2013-9-18,4388
2013-9-19,1709
2013-9-20,59641
2013-9-21,42
2013-9-22,58
2013-9-23,1116
2013-9-24,3821
2013-9-25,11793
2013-9-26,822
2013-9-27,289
2013-9-28,10
2013-9-29,145
2013-9-30,332
2013-10-1,1740
2013-10-2,1117
2013-10-3,1258
2013-10-4,228
2013-10-5,224
2013-10-6,1342
2013-10-7,563
2013-10-8,372
2013-10-9,1159
2013-10-10,579
2013-10-11,257
2013-10-12,10
2013-10-13,97
2013-10-14,336
2013-10-15,62458
2013-10-16,1002
2013-10-17,1074
2013-10-18,143
2013-10-19,753
2013-10-20,134
2013-10-21,2893
2013-10-22,1530
2013-10-23,6467
2013-10-24,1806
2013-10-25,632
2013-10-26,27
2013-10-27,109
2013-10-28,538
2013-10-29,529
2013-10-30,596
2013-10-31,243
2013-11-1,195
2013-11-2,55
2013-11-3,92
2013-11-4,943
2013-11-5,4006
2013-11-6,451
2013-11-7,1219
2013-11-8,0
2013-11-9,146
2013-11-10,483
2013-11-11,1868
2013-11-12,2139
2013-11-13,1984
2013-11-14,2068
2013-11-15,70191
2013-11-16,35
2013-11-17,328
2013-11-18,364
2013-11-19,3192
2013-11-20,566
2013-11-21,2818
2013-11-22,4983
2013-11-23,86
2013-11-24,59
2013-11-25,377
2013-11-26,885
2013-11-27,410
2013-11-28,132
2013-12-1,713
2013-12-2,1567
2013-12-3,3231
2013-12-4,2101
2013-12-5,2451
2013-12-6,5574
2013-12-7,65
2013-12-8,110
2013-12-9,335
2013-12-10,2289
2013-12-11,377
2013-12-12,1802
2013-12-13,602
2013-12-14,150
2013-12-15,54768
2013-12-16,2622
2013-12-17,782
2013-12-18,6542
2013-12-19,762
2013-12-20,48
2013-12-21,107
2013-12-22,104
2013-12-23,2294
2013-12-24,73
2013-12-25,43
2013-12-26,1290
2013-12-28,1644
2013-12-29,18
2013-12-30,54
2014-1-1,196
2014-1-2,347
2014-1-3,8
2014-1-4,87
2014-1-5,432
2014-1-6,3583
2014-1-7,1187
2014-1-8,1710
2014-1-9,2375
2014-1-10,35
2014-1-11,29
2014-1-12,66
2014-1-13,1315
2014-1-14,810
2014-1-15,64813
2014-1-16,874
2014-1-17,71
2014-1-18,37
2014-1-19,93
2014-1-20,465
2014-1-21,490
2014-1-22,2376
2014-1-23,2782
2014-1-24,3006
2014-1-25,5
2014-1-26,715
2014-1-27,66
2014-1-28,362
2014-1-29,1806
2014-1-30,2847
2014-1-31,50
2014-2-1,50
2014-2-2,540
2014-2-3,1424
2014-2-4,1685
2014-2-5,1746
2014-2-6,1878
2014-2-7,489
2014-2-8,38
2014-2-9,75
2014-2-10,103
2014-2-11,1561
2014-2-12,5946
2014-2-13,1238
2014-2-15,61412
2014-2-16,55
2014-2-17,414
2014-2-18,22359
2014-2-19,1173
2014-2-20,1315
2014-2-21,4561
2014-2-22,62
2014-2-23,1177
2014-2-24,709
2014-2-25,936
2014-2-26,1584
2014-2-27,177
2014-2-28,28
2014-3-1,47
2014-3-2,104
2014-3-3,1366
2014-3-4,464
2014-3-5,835
2014-3-6,1230
2014-3-7,42
2014-3-8,39
2014-3-9,1411
2014-3-10,2207
2014-3-11,658
2014-3-12,5075
2014-3-13,1073
2014-3-14,6
2014-3-15,76558
2014-3-16,19
2014-3-17,259
2014-3-18,2746
2014-3-19,1551
2014-3-20,46360
2014-3-21,174
2014-3-22,52
2014-3-23,157
2014-3-24,22801
2014-3-25,778
2014-3-26,1036
2014-3-27,913
2014-3-28,240
2014-3-29,24
2014-3-30,839
2014-3-31,144
2014-4-1,1224
2014-4-2,1851
2014-4-3,220
2014-4-4,104
2014-4-5,152
2014-4-6,179
2014-4-7,9434
2014-4-8,1272
2014-4-9,2238
2014-4-10,3684
2014-4-11,364
2014-4-12,81
2014-4-13,85
2014-4-14,1600
2014-4-15,62794
2014-4-16,940
2014-4-17,90
2014-4-21,189
2014-4-22,2013
2014-4-23,2414
2014-4-24,1621
2014-4-25,731
2014-4-26,51
2014-4-27,763
2014-4-28,786
2014-4-29,682
2014-4-30,2354
2014-5-1,1652
2014-5-2,12
2014-5-3,19
2014-5-4,103
2014-5-5,287
2014-5-6,545
2014-5-7,2467
2014-5-8,949
2014-5-9,36
2014-5-10,143
2014-5-11,408
2014-5-12,2047
2014-5-13,1591
2014-5-14,4409
2014-5-15,65967
2014-5-16,10
2014-5-17,91
2014-5-18,180
2014-5-19,740
2014-5-20,1147
2014-5-21,5434
2014-5-22,2476
2014-5-23,233
2014-5-24,20
2014-5-25,501
2014-5-26,1189
2014-5-27,1138
2014-5-28,2068
2014-5-29,850
